CODIGO,HIJO,NOMBRE,DESCRPCIÓN CORTA,DESCRIPCIÓN LARGA,TAMAÑO,SUBCATEGORÍA,MARCA/FABRICANTE,PRECIO,DESCUENTO %,IMAGEN,ATRIBUTO 1 (ej: color),ATRIBUTO 2 (ej: talla),DESTACADO
colchon010,,KIPLING PERFORMANCE,"Colchon de resortes de hilo continuo, soporte medio, telas en algodón hipo alergenica anti acaros, colchoneta euro pillow top",,INDIVIDUAL|MATRIMONIAL|QUEEN|KING SIZE,Colchones,SPRING AIR,,,KIPLING,,,
colchon010-IND,colchon010,KIPLING INDIVIDUAL,,"Grosor 32 cms, 374 resortes de hilo continuo, soporte semifirme, telas en algodón y colchoneta euro pillow top",INDIVIDUAL,Colchones,SPRING AIR,3599,,KIPLING,,,SI
colchon010-MAT,colchon010,KIPLING MATRIMONIAL,,"Grosor 32 cms, 510 resortes de hilo continuo, soporte semifirme, telas en algodón y colchoneta euro pillow top",MATRIMONIAL,Colchones,SPRING AIR,4399,,KIPLING,,,
colchon010-QS,colchon010,KIPLING QUEEN,,"Grosor 32 cms, 578 resortes de hilo continuo, soporte semifirme, telas en algodón y colchoneta euro pillow top",QUEEN,Colchones,SPRING AIR,4949,,KIPLING,,,
colchon010-KS,colchon010,KIPLING KING SIZE,,"Grosor 32 cms, 748 resortes de hilo continuo, soporte semifirme, telas en algodón y colchoneta euro pillow top",KING SIZE,Colchones,SPRING AIR,6099,,KIPLING,,,
colchon011,,SWEET VAINILLA COMFORT FLEX,"Colchon de resortes independientes, telas con tratamientos de aromaterapia en olor a vainilla, foam encased",,MATRIMONIAL|QUEEN|KING SIZE,Colchones,SPRING AIR,,,SWEET VAINILLA,,,
colchon011-MAT,colchon011,SWEET VAINILLA MATRIMONIAL,,"Grosor 35cms, 567 resortes independientes embolsados, telas con aromaterapia en olor a vainilla, refuerzo perimetral.",MATRIMONIAL,Colchones,SPRING AIR,6749,,SWEET VAINILLA,,,SI
colchon011-QS,colchon011,SWEET VAINILLLA  QUEEN,,"Grosor 35cms, 621 resortes independientes embolsados, telas con aromaterapia en olor a vainilla, refuerzo perimetral.",QUEEN,Colchones,SPRING AIR,7399,,SWEET VAINILLA,,,
colchon011-KS,colchon011,SWEET VAINILLA KING SIZE,,"Grosor 35cms, 837 resortes independientes embolsados, telas con aromaterapia en olor a vainilla, refuerzo perimetral.",KING SIZE,Colchones,SPRING AIR,9499,,SWEET VAINILLA,,,
colchon012,,LONDON PERFORMANCE,"Colchon de resortes de hilo continuo, soporte medio, telas en algodón hipo alergenica anti acaros, colchoneta eurotop",,INDIVIDUAL|MATRIMONIAL|QUEEN|KING SIZE,Colchones,PRINCIPE BY SPRING AIR,,,LONDON,,,
colchon012-IND,colchon012,LONDON INDIVIDUAL,,"Grosor 32 cms, 374 resortes de hilo continuo, soporte semifirme, telas en algodón y colchoneta euro pillow top",INDIVIDUAL,Colchones,PRINCIPE BY SPRING AIR,3287,,LONDON,,,SI
colchon012-MAT,colchon012,LONDON MATRIMONIAL,,"Grosor 32 cms, 510 resortes de hilo continuo, soporte semifirme, telas en algodón y colchoneta euro pillow top",MATRIMONIAL,Colchones,PRINCIPE BY SPRING AIR,4554,,LONDON,,,
colchon012-QS,colchon012,LONDON QUEEN,,"Grosor 32 cms, 578 resortes de hilo continuo, soporte semifirme, telas en algodón y colchoneta euro pillow top",QUEEN,Colchones,PRINCIPE BY SPRING AIR,4999,,LONDON,,,
colchon012-KS,colchon012,LONDON KING SIZE,,"Grosor 32 cms, 748 resortes de hilo continuo, soporte semifirme, telas en algodón y colchoneta euro pillow top",KING SIZE,Colchones,PRINCIPE BY SPRING AIR,5999,,LONDON,,,
colchon013,,LANCASTER PERFORMANCE,"Colchon de resortes de hilo continuo, soporte medio, telas en algodón hipo alergenica anti acaros, colchoneta fly top",,INDIVIDUAL|MATRIMONIAL|QUEEN|KING SIZE,Colchones,PRINCIPE BY SPRING AIR,,,LANCASTER ,,,
colchon013-IND,colchon013,LANCASTER INDIVIDUAL,,"Grosor 29 cms, 374 resortes de hilo continuo, soporte semifirme y colchoneta fly top",INDIVIDUAL,Colchones,PRINCIPE BY SPRING AIR,2649,,LANCASTER ,,,SI
colchon013-MAT,colchon013,LANCASTER MATRIMONIAL,,"Grosor 29 cms, 510 resortes de hilo continuo, soporte semifirme y colchoneta fly top",MATRIMONIAL,Colchones,PRINCIPE BY SPRING AIR,3249,,LANCASTER ,,,
colchon013-QS,colchon013,LANCASTER QUEEN,,"Grosor 29 cms, 578 resortes de hilo continuo, soporte semifirme y colchoneta fly top",QUEEN,Colchones,PRINCIPE BY SPRING AIR,3599,,LANCASTER ,,,
